voices,start,end,text
Voices_042.wav,255.92,262.64,وحدات معالجة الرسومات هي بالطبع أكثر تكلفة. وأخيرًا، نصل إلى وقت التدريب.
Voices_043.wav,262.64,269.12,الشبكات العصبية العميقة تستغرق ساعات أو حتى أشهر للتدريب. يزداد الوقت مع
Voices_044.wav,269.12,275.92,كمية البيانات وعدد الطبقات في الشبكة. لذا، إليك اختبار قصير لك. رتب
Voices_045.wav,275.92,284.0,العبارات التالية لوصف عمل الشبكة العصبية. أ. يتم إضافة التحيز. ب. يتم حساب
Voices_046.wav,284.0,289.12,المجموع الموزون للمدخلات. ج. يتم تنشيط خلية عصبية معينة. د. يتم تغذية النتيجة
Voices_047.wav,289.12,294.24,إلى دالة التنشيط. اترك إجاباتك في قسم التعليقات أدناه. ثلاثة منكم لديهم
Voices_048.wav,294.24,301.2,فرصة للفوز بقسائم Amazon. لذا، عجلوا! بعض أطر التعلم العميق الشائعة تشمل
Voices_049.wav,301.2,307.44,TensorFlow، PyTorch، Keras، Deep Learning4j، Cafe، و Microsoft Cognitive Toolkit.
Voices_050.wav,307.44,313.2,بالنظر إلى توقعات المستقبل للتعلم العميق والذكاء الاصطناعي، يبدو أننا لم
Voices_051.wav,313.2,318.72,نلمس سوى السطح. في الواقع، تعمل Horace Technology على جهاز للمعاقين
Voices_052.wav,318.72,325.6,بصريًا يستخدم التعلم العميق مع الرؤية الحاسوبية لوصف العالم للمستخدمين.
Voices_053.wav,325.6,332.0,قد لا يكون تكرار العقل البشري بالكامل مجرد حلقة من الخيال العلمي لفترة طويلة.
Voices_054.wav,332.0,337.2,المستقبل مليء بالمفاجآت، وهذا هو التعلم العميق لك في قصيرة. إذا استمتعت بهذا
Voices_055.wav,337.2,350.88,الفيديو، فالرجاء الإعجاب به ومشاركته. كما يرجى الاشتراك في قناتنا إذا لم
Voices_056.wav,350.88,355.88,تفعل ذلك بعد، لأن لدينا الكثير من الفيديوهات المثيرة القادمة. تعلم ممتع حتى ذلك الحين!
