voices,start,end,text
Voices_045.wav,272.88,281.44,بوحدات المعالجة المركزية. وحدات معالجة الرسومات هي بالطبع أكثر تكلفة.
Voices_046.wav,281.44,288.0,وأخيرًا، نصل إلى وقت التدريب. الشبكات العصبية العميقة تستغرق ساعات أو
Voices_047.wav,288.0,293.92,حتى أشهر للتدريب. يزداد الوقت مع كمية البيانات وعدد الطبقات في
Voices_048.wav,293.92,300.56,الشبكة. لذا، هنا استبيان قصير لك. رتب العبارات التالية لوصف عمل
Voices_049.wav,300.56,306.48,الشبكة العصبية. أ. يضاف التحيز. ب. يتم حساب المجموع الموزون للمدخلات.
Voices_050.wav,306.48,311.84,ج. يتم تنشيط خلية عصبية محددة. د. يتم تغذية النتيجة لوظيفة التنشيط.
Voices_051.wav,311.84,317.52,اترك إجاباتك في قسم التعليقات أدناه. ثلاثة منكم لديهم فرصة للفوز
Voices_052.wav,317.52,323.84,بقسائم أمازون. لذا، عجل! بعض أطر التعلم العميق الشائعة تشمل
Voices_053.wav,323.84,330.48,TensorFlow، PyTorch، Keras، Deep Learning4j، Cafe، وMicrosoft Cognitive
Voices_054.wav,330.48,336.16,Toolkit. بالنظر إلى توقعات المستقبل للتعلم العميق والذكاء الاصطناعي،
Voices_055.wav,336.16,351.12,يبدو أننا لم نلمس سوى السطح. في الواقع، Horace Technology تعمل على
